network,num_nodes,num_edges,avg_degree,avg_clustering,assortativity,avg_path_length,diameter
rb25.net,25,66,5.28,0.9023,-0.1635,2.033333333333333,4
wheel.net,9,16,3.5556,0.6243,-0.3333,1.5555555555555556,2
graph3+1+3.net,7,8,2.2857,0.6667,-0.6,2.1904761904761907,4
20x2+5x2.net,50,404,16.16,0.9716,0.9186,2.3877551020408165,4
graph4+4.net,8,13,3.25,0.875,-0.0833,1.8571428571428572,3
grid-p-6x6.net,36,72,4.0,0.0,,3.085714285714286,6
star.net,9,8,1.7778,0.0,-1.0,1.7777777777777777,2
circle9.net,9,9,2.0,0.0,,2.5,4
zachary_unwh.net,34,78,4.5882,0.5706,-0.4756,2.408199643493761,5
dolphins.net,62,159,5.129,0.259,-0.0436,3.3569539925965097,8
airports_UW.net,3618,14142,7.8176,0.4957,0.0462,4.439594641910406,17
PGP.net,10680,24316,4.5536,0.2659,0.2382,7.4855400514784,24
SF_1000_g2.5.net,1000,1905,3.81,0.0096,0.02,4.614932932932933,10
SF_1000_g2.7.net,1000,1668,3.336,0.0067,-0.002,5.4688268268268265,12
homorand_N1000_K6_0.net,1000,2994,5.988,0.0038,0.1919,4.191299299299299,6
homorand_N1000_K4_0.net,1000,2000,4.0,0.002,,5.64,9
ER1000k8.net,1000,3956,7.912,0.008,-0.0168,3.569777777777778,6
SF_1000_g3.0.net,1000,1517,3.034,0.0052,-0.0085,5.965063063063063,13
ws2000.net,2000,6000,6.0,0.0033,-0.0762,4.5110930465232615,7
BA1000.net,1000,3990,7.98,0.0354,-0.0542,3.1832792792792795,5
256_4_4_4_13_18_p.net,256,2299,17.9609,0.5113,0.0007,2.6511029411764704,4
ER5000k8.net,5000,19980,7.992,0.0014,-0.0555,4.379741068213643,6
SF_500_g2.7.net,500,859,3.436,0.0078,-0.0256,4.875935871743487,12
256_4_4_2_15_18_p.net,256,2274,17.7656,0.7331,0.0286,2.782107843137255,5
rb125.net,125,410,6.56,0.8373,-0.173,2.303225806451613,4
ws1000.net,1000,3000,6.0,0.0044,-0.0999,4.091303303303303,6
